State,Month,Year,Min_Temp,Max_Temp,Humidity,Rainfall
Andhra Pradesh,9,2024,26.59,28.49,82.50933333333334,5.3389999999999995
Andhra Pradesh,10,2019,25.27,28.02,87.06612903225808,7.924193548387097
Andhra Pradesh,10,2020,25.1,27.62,84.73548387096774,4.020967741935484
Andhra Pradesh,10,2021,25.2,28.63,83.45387096774193,2.86741935483871
Andhra Pradesh,10,2022,23.23,27.51,85.38064516129033,6.9070967741935485
Andhra Pradesh,10,2023,25.96,28.84,74.26483870967742,0.6993548387096774
Andhra Pradesh,10,2024,25.72,29.28,85.59709677419356,6.2945161290322575
Andhra Pradesh,11,2019,22.79,26.79,83.819,0.4036666666666667
Andhra Pradesh,11,2020,21.67,26.65,86.34400000000001,7.606333333333334
Andhra Pradesh,11,2021,22.91,26.47,88.86066666666667,6.280333333333333
Andhra Pradesh,11,2022,21.34,25.92,82.86733333333333,1.313
Andhra Pradesh,11,2023,25.17,27.95,78.00500000000001,2.9156666666666666
Andhra Pradesh,11,2024,22.98,26.84,83.501,1.1716666666666666
Andhra Pradesh,12,2019,21.58,24.93,80.45806451612903,0.5174193548387096
Andhra Pradesh,12,2020,19.77,23.96,81.49806451612903,0.18064516129032257
Andhra Pradesh,12,2021,19.61,25.0,80.7658064516129,0.04967741935483871
Andhra Pradesh,12,2022,21.25,25.93,81.08645161290322,2.1516129032258067
Andhra Pradesh,12,2023,21.3,26.54,81.27032258064517,5.555806451612903
Andhra Pradesh,12,2024,21.28,26.16,82.01903225806453,1.406774193548387
Assam,1,2019,15.16,20.22,65.1916129032258,0.09483870967741935
Assam,1,2020,13.7,18.92,75.16387096774193,0.5103225806451613
Assam,1,2021,15.37,20.25,72.29354838709678,0.25903225806451613
Assam,1,2022,14.35,19.85,68.85258064516128,0.5548387096774193
Assam,1,2023,13.92,21.3,63.52322580645161,0.005161290322580645
Assam,1,2024,15.37,19.13,62.5116129032258,0.02193548387096774
Assam,1,2025,15.17,18.79,71.21774193548387,0.18161290322580645
Assam,2,2019,16.43,21.58,63.5875,1.4885714285714287
Assam,2,2020,15.08,22.35,67.62103448275862,0.4137931034482759
Assam,2,2021,15.49,23.0,62.815714285714286,0.10571428571428572
Assam,2,2022,14.39,20.86,66.48785714285715,1.606785714285714
Assam,2,2023,18.37,23.21,56.68,0.35607142857142854
Assam,2,2024,16.14,20.92,58.5651724137931,0.7741379310344827
Assam,3,2019,17.72,25.98,58.61,1.2806451612903227
Assam,3,2020,20.98,27.56,60.350645161290316,0.5151612903225806
Assam,3,2021,21.43,27.22,53.42161290322581,1.274193548387097
Assam,3,2022,20.61,28.3,52.56645161290322,0.8432258064516129
Assam,3,2023,21.25,26.39,57.361935483870965,2.029677419354839
Assam,3,2024,20.63,26.56,54.40451612903226,1.6341935483870966
Assam,4,2019,22.73,30.15,66.22033333333333,3.6326666666666667
Assam,4,2020,23.03,30.42,62.76033333333333,4.405
Assam,4,2021,25.25,30.47,57.76366666666667,1.4893333333333334
Assam,4,2022,24.68,28.91,72.01,5.814666666666667
Assam,4,2023,22.73,30.75,57.705666666666666,2.0366666666666666
Assam,4,2024,26.49,30.01,57.586999999999996,2.1766666666666667
Assam,5,2019,26.23,29.75,74.77645161290323,7.63
Assam,5,2020,25.48,30.04,72.99064516129032,8.108064516129032
Assam,5,2021,25.69,31.33,68.47129032258064,4.579677419354839
Assam,5,2022,23.7,30.03,77.14483870967742,8.206129032258065
Assam,5,2023,25.43,32.75,61.954516129032264,3.474838709677419
Assam,5,2024,24.12,33.54,67.32225806451612,6.612903225806452
Assam,6,2019,27.17,31.58,79.89833333333333,7.207666666666667
Assam,6,2020,25.61,29.55,84.87733333333334,8.063333333333334
Assam,6,2021,27.43,30.14,77.055,6.415
Assam,6,2022,24.93,28.49,84.51533333333333,9.716666666666667
Assam,6,2023,26.58,33.12,74.07066666666667,8.571
Assam,6,2024,26.68,30.79,82.02399999999999,8.532666666666668
Assam,7,2019,26.69,30.6,84.89387096774193,8.918064516129032
Assam,7,2020,26.37,28.99,87.3967741935484,6.532903225806451
Assam,7,2021,27.45,31.69,79.81774193548387,6.448387096774193
Assam,7,2022,26.3,32.55,82.25193548387097,4.78
Assam,7,2023,27.7,31.94,78.60709677419355,6.151290322580645
Assam,7,2024,27.47,32.34,82.50709677419354,6.846451612903226
Assam,8,2019,26.83,30.62,83.85806451612903,6.9880645161290325
Assam,8,2020,26.88,30.73,84.79225806451613,5.322258064516129
Assam,8,2021,26.62,31.54,82.67258064516129,5.632258064516129
Assam,8,2022,27.69,31.05,77.3474193548387,2.933225806451613
Assam,8,2023,26.64,31.08,81.01935483870967,5.373870967741936
Assam,8,2024,26.03,29.99,84.67645161290322,8.33548387096774
Assam,9,2019,24.31,30.28,86.51633333333332,7.093999999999999
Assam,9,2020,26.13,30.75,86.86333333333333,6.458
Assam,9,2021,26.29,30.92,79.738,4.370666666666667
Assam,9,2022,25.38,30.15,79.551,3.3433333333333333
Assam,9,2023,27.0,32.58,73.27,2.585
Assam,9,2024,25.77,32.08,79.75066666666666,3.9563333333333333
Assam,10,2019,21.51,26.63,85.34935483870967,4.9880645161290325
Assam,10,2020,22.2,28.67,84.11258064516129,4.534193548387097
Assam,10,2021,23.47,30.38,77.35161290322581,2.7983870967741935
Assam,10,2022,21.12,30.03,79.79387096774194,4.34516129032258
Assam,10,2023,23.53,30.45,75.95645161290322,2.8470967741935485
Assam,10,2024,23.4,27.74,86.06709677419354,5.3993548387096775
Assam,11,2019,19.95,24.27,83.18733333333333,0.497
Assam,11,2020,18.43,25.61,77.95666666666666,0.37533333333333335
Assam,11,2021,18.55,23.08,70.79966666666665,0.07066666666666667
Assam,11,2022,19.56,23.88,68.04733333333334,0.0036666666666666666
Assam,11,2023,20.91,24.17,69.55799999999999,0.7786666666666666
Assam,11,2024,18.71,25.13,76.16166666666666,0.326
Assam,12,2019,15.06,19.53,76.31387096774193,0.05870967741935484
Assam,12,2020,15.14,21.59,74.41,0.00903225806451613
Assam,12,2021,16.1,22.7,70.28548387096774,0.27903225806451615
Assam,12,2022,15.39,21.87,70.34677419354838,0.20870967741935484
Assam,12,2023,16.66,23.08,69.77225806451614,0.7283870967741936
Assam,12,2024,15.76,19.5,71.10774193548387,0.005806451612903225
Bihar,1,2019,13.64,20.83,43.971935483870965,0.19096774193548388
Bihar,1,2020,10.02,19.21,71.83903225806452,0.36645161290322587
Bihar,1,2021,12.9,21.24,56.94870967741936,0.0016129032258064516
Bihar,1,2022,10.93,18.66,76.35225806451614,0.36387096774193545
Bihar,1,2023,11.36,21.44,51.11290322580645,0.001935483870967742
Bihar,1,2024,12.16,18.16,60.59032258064516,0.015806451612903227
Bihar,1,2025,13.5,20.01,51.67451612903226,0.004193548387096774
Bihar,2,2019,15.97,26.67,42.104642857142856,0.9685714285714286
Bihar,2,2020,13.48,22.32,57.925862068965515,0.7675862068965517
Bihar,2,2021,14.98,25.79,40.903571428571425,0.08142857142857143
Bihar,2,2022,13.03,22.65,63.67285714285714,1.392857142857143
Bihar,2,2023,16.34,24.89,35.28785714285714,0.0
Bihar,2,2024,15.19,23.94,49.723103448275864,0.6089655172413793
Bihar,3,2019,17.62,31.27,32.56645161290322,0.24225806451612902
Bihar,3,2020,19.24,28.21,53.91580645161291,1.7583870967741937
Bihar,3,2021,22.81,30.96,29.580322580645163,0.05677419354838711
Bihar,3,2022,20.84,30.02,43.288387096774194,0.0029032258064516127
Bihar,3,2023,21.13,29.19,39.74903225806452,0.7687096774193548
Bihar,3,2024,20.42,31.33,39.76225806451613,0.8080645161290323
Bihar,4,2019,29.46,36.74,30.252,0.476
Bihar,4,2020,26.39,32.55,39.245,0.807
